url,size,outlink,Content-Type
https://www.latimes.com/california/story/2023-03-04/k-pop-isnt-the-only-hot-ticket-in-koreatown-how-trot-is-captivating-immigrants,280828,218,text/html;charset=UTF-8
https://www.latimes.com/entertainment/arts/miranda/la-et-cam-john-berger-appreciation-20170104-story.html,247483,204,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/music/story/2021-01-15/sea-shanty-tik-tok-wellerman,292908,260,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-10-19/rikki-wright-uses-self-care-routine-to-slow-down-explore-beauty-and-be-with-thoughts,325616,192,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-10-13/remembering-the-legacy-and-life-of-los-angeles-music-icon-nate-dogg,307589,207,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-10-12/photo-essay-artists-naima-green-and-lacey-lennon-visit-la-recreation-park-kenneth-hahn,341628,197,text/html;charset=UTF-8
https://www.latimes.com/people/jessica-de-jesus,178703,159,text/html;charset=UTF-8
https://www.latimes.com/recipe/greek-ish-grilled-half-chickens,343887,217,text/html;charset=UTF-8
https://www.latimes.com/recipe/the-bear-italian-beef-sandwich-recipe,283680,181,text/html;charset=UTF-8
https://www.latimes.com/food/la-fo-encore090707story-story.html,243485,193,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/books/story/2022-08-10/chef-keith-corbin-california-soul-book-club,296416,221,text/html;charset=UTF-8
https://www.latimes.com/food/la-fo-koslow-20150808-story.html,251496,203,text/html;charset=UTF-8
https://www.latimes.com/food/dailydish/la-fo-co-eggplant-recipe-evan-kleiman-20180707-story.html,254719,195,text/html;charset=UTF-8
https://www.latimes.com/recipe/thanksgiving-double-crust-apple-pie,346311,218,text/html;charset=UTF-8
https://www.latimes.com/recipe/martin-dralucks-rabbit-dish,338088,210,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/story/2023-02-28/beehive-black-la-black-market-flea-everyday-people-behold,348682,203,text/html;charset=UTF-8
https://www.latimes.com/food/story/2021-05-20/chinese-cooking-cookbooks-lessons-from-mothers-and-grandmothers,269353,212,text/html;charset=UTF-8
https://www.latimes.com/entertainment/movies/la-et-mn-certain-women-review-20161008-snap-story.html,251702,200,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2022-03-12/alison-brie-jeff-baena-spin-me-round-sxsw,263000,204,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2022-03-13/nicolas-cage-unbearable-weight-of-massive-talent,266412,205,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-12-01/a-letter-to-the-la-of-my-dreams-christina-catherine-martinez,294377,196,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2022-03-13/sandra-bullock-the-lost-city-sxsw-premiere,258355,203,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-12-01/a-letter-to-the-la-of-my-dreams-zehra-ahmed,293914,196,text/html;charset=UTF-8
https://www.latimes.com/california/story/2021-10-28/extreme-heat-built-environment-equity,433642,234,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-12-01/a-letter-to-the-la-of-my-dreams-kendrick-sampson,298362,197,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-12-01/a-letter-to-the-la-of-my-dreams-rio-uribe,297541,198,text/html;charset=UTF-8
https://www.latimes.com/business/story/2022-08-31/after-a-golden-era-at-snap-and-other-tech-firms-its-back-to-reality-for-workers,288953,247,text/html;charset=UTF-8
https://www.latimes.com/business/hiltzik/la-fi-hiltzik-amazon-hq-20180119-story.html,269143,220,text/html;charset=UTF-8
https://www.latimes.com/people/bloomberg,225781,182,text/html;charset=UTF-8
https://www.latimes.com/business/hiltzik/la-fi-hiltzik-amazon-hq-20170911-story.html,269814,220,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2020-06-30/hamilton-review-lin-manuel-miranda-disney,278250,206,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/music/story/2022-05-17/kendrick-lamar-mr-morale-and-big-steppers-review,291224,217,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/music/story/2022-05-19/harry-styles-harrys-house-new-album-review,292410,212,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/story/2020-10-14/40-black-playwrights-theater-racism,463616,210,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/music/story/2021-01-14/ariel-pink-tucker-carlson-fox-news,278041,211,text/html;charset=UTF-8
https://www.latimes.com/people/randall-roberts,227791,186,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/story/2020-10-02/nathan-apodaca-is-the-skateboarding-fleetwood-mac-loving-tiktok-star-that-2020-needs,304732,227,text/html;charset=UTF-8
https://www.latimes.com/entertainment/arts/miranda/la-ca-cm-year-end-black-lives-matter-artists-20161218-story.html,254608,213,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-03-17/the-greatest-la-party-anthems-of-the-21st-century,356012,209,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-10-06/how-la-taught-artist-arima-ederra-how-to-be-a-vessel-for-healing-through-music,320307,199,text/html;charset=UTF-8
https://www.latimes.com/entertainment/arts/miranda/la-et-cam-art-after-fidel-20161129-story.html,280236,215,text/html;charset=UTF-8
https://www.latimes.com/entertainment/arts/miranda/la-et-cam-harry-gamboa-fotonovela-20161224-story.html,284473,201,text/html;charset=UTF-8
https://www.latimes.com/food/mdgcymwf1wc-123,194991,167,text/html;charset=UTF-8
https://www.latimes.com/recipe/citrus-and-herb-porchetta-with-roasted-lemon-christmas-salsa-verde,355627,217,text/html;charset=UTF-8
https://www.latimes.com/food/drinks/la-fo-fishtacos-whitewine-20150808-story.html,248108,202,text/html;charset=UTF-8
https://www.latimes.com/about/los-angeles-times-fellowship,246073,180,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2021-12-02/gallery-90220-david-colbert-jr,256160,209,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/awards/story/2022-01-26/nicolas-cage-on-pig-elvis-dracula-and-his-career,282659,199,text/html;charset=UTF-8
https://www.latimes.com/entertainment/movies/la-et-mn-mandy-review-20180913-story.html,238089,192,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/tv/story/2021-08-22/molly-shannon-the-white-lotus-the-other-two,329370,221,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2021-02-02/patti-harrison-together-together-sundance,303437,195,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/tv/story/2020-07-08/davine-joy-randolph-hulu-high-fidelity-cant-stop-watching,266175,201,text/html;charset=UTF-8
https://www.latimes.com/california/story/2020-12-16/black-lives-matter-protests-george-floyd-coronavirus-covid-2020,278367,197,text/html;charset=UTF-8
https://www.latimes.com/environment/newsletter/2021-10-07/how-our-reporters-revealed-the-shocking-death-toll-of-california-heat-waves-boiling-point,326382,253,text/html;charset=UTF-8
https://www.latimes.com/environment/story/2021-10-07/climate-change-supercharging-california-heat-waves,336308,214,text/html;charset=UTF-8
https://www.latimes.com/local/lanow/la-me-cool-pavement-climate-change-20190425-story.html,266915,223,text/html;charset=UTF-8
https://www.latimes.com/environment/story/2021-10-07/as-heat-waves-intensify-access-to-air-conditioning-can-mean-life-or-death,296172,216,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/business/story/2022-03-22/buzzfeed-editor-departs-staff-cuts-digital-media,256555,200,text/html;charset=UTF-8
